,product_model,product_desc,category,sub_category,heading_text,product_url,sub_category_url,category_url
98,DX2000USB,"Professional 7-Channel DJ Mixer with infinium ""Con",DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155249/223585,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
99,DN-X600,"2ch Digital DJ Mixer, w/MIDI & Sound Card",DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/81388/115139,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
100,SMX202-NA,STANTON SMX202,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/181975/185190,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
101,XONE:DX,ALLENHEATH Xone:DX,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/60353/207562,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
102,XONE:1D,ALLENHEATH Xone: 1D,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/60354/207563,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
103,VMX100USB,Professional 2-Channel DJ Mixer with USB/Audio Int,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155242/223563,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
104,VMX1000USB,Professional 7-Channel Rack-Mount DJ Mixer with US,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155245/223658,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
105,NOX101,Premium 2-Channel DJ Mixer with Full VCA-Control a,DJ,DJ Mixers,Lighting / DJ,https://tmppro.com/products/view/155250/223315,http://tmppro.com/products/category/lighting_dj/dj/djmixers,http://tmppro.com/products/group/lighting_dj/dj
106,SC35C,Standard - Scratch/Mix,DJ,DJ Software / Interfaces,Lighting / DJ,https://tmppro.com/products/view/6432/207615,http://tmppro.com/products/category/lighting_dj/dj/djsoftware_interfaces,http://tmppro.com/products/group/lighting_dj/dj
107,AT-XP3,AT AT-XP3,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/238912/464657,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
108,AT-VMN95E,AT AT-VMN95E,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/239324/465806,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
109,VC-1,STANTON VC-1,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/83006/287881,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
110,SC-4,STANTON SC-4,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/131266/287441,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
111,N600S-6,STANTON N600S-6,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/181974/288121,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
112,N500S-6,STANTON N500S-6,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/154283/287819,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
113,N300S,STANTON N300S,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/185863/287761,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
114,H4-S V2,STANTON H4-S V2,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/131265/287985,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
115,DSM-10,STANTON DSM-10,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/90718/287525,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
116,CTC-1,STANTON CTC-1,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/131267/287808,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
117,CFB-1,STANTON CFB-1,DJ,DJ Turntables / Accessories,Lighting / DJ,http://tmppro.com/products/view/131268/287897,http://tmppro.com/products/category/lighting_dj/dj/djturntables_accessories,http://tmppro.com/products/group/lighting_dj/dj
